Energy (MeV),H*(10) (pSv*cm^2)
1.00E-09,6.75E+00
2.15E-09,7.29E+00
4.64E-09,8.29E+00
1.00E-08,9.78E+00
2.15E-08,1.06E+01
4.64E-08,1.27E+01
1.00E-07,1.34E+01
2.15E-07,1.26E+01
4.64E-07,1.31E+01
1.00E-06,1.29E+01
2.15E-06,1.26E+01
4.64E-06,1.16E+01
1.00E-05,1.10E+01
2.15E-05,1.04E+01
4.64E-05,9.93E+00
1.00E-04,9.26E+00
2.15E-04,8.77E+00
4.64E-04,8.25E+00
1.00E-03,7.85E+00
2.15E-03,7.98E+00
4.64E-03,9.69E+00
1.00E-02,1.13E+01
1.25E-02,1.28E+01
1.58E-02,1.51E+01
1.99E-02,1.82E+01
2.51E-02,2.23E+01
3.16E-02,2.80E+01
3.98E-02,3.61E+01
5.01E-02,4.69E+01
6.30E-02,6.07E+01
7.94E-02,7.81E+01
1.00E-01,9.91E+01
1.25E-01,1.24E+02
1.58E-01,1.54E+02
1.99E-01,1.86E+02
2.51E-01,2.22E+02
3.16E-01,2.61E+02
3.98E-01,3.02E+02
5.01E-01,3.42E+02
6.30E-01,3.76E+02
7.94E-01,3.98E+02
1.00E+00,4.27E+02
1.25E+00,4.14E+02
1.58E+00,3.97E+02
1.99E+00,4.13E+02
2.51E+00,4.13E+02
3.16E+00,4.09E+02
3.98E+00,4.06E+02
5.01E+00,4.01E+02
6.30E+00,4.05E+02
7.94E+00,4.18E+02
1.00E+01,4.91E+02
1.58E+01,5.96E+02
2.51E+01,4.00E+02
3.98E+01,3.99E+02
6.30E+01,3.20E+02
1.00E+02,2.59E+02
1.58E+02,2.59E+02
2.51E+02,0.00E+00
3.98E+02,0.00E+00
6.30E+02,
