Depth pos->neg,xAxis (mR),yAxis (mR),zAxis (mR)
1,487.775237,301.614787,301.515514
2,674.028706,369.373066,379.533616
3,825.797082,424.605402,430.330937
4,844.34621,432.685845,428.30818
5,870.347622,415.523273,403.968217
6,799.7724,406.970397,391.418802
7,771.787466,379.58684,375.95156
9,631.441831,325.219433,334.878457
12,395.699581,269.92013,290.88165
15,267.77849,267.77849,267.77849
18,198.716592,296.703608,283.695624
21,181.174938,357.170726,370.362376
23,198.551322,388.738098,426.150348
24,206.21824,427.72113,470.35598
25,234.987484,447.676744,463.781004
26,256.256929,460.109364,459.266015
27,261.725735,431.344878,467.948478
28,255.681748,392.380756,410.579987
29,228.158251,295.868974,309.254352
