Depth pos->neg,xAxis (nC),yAxis (nC),zAxis (nC)
1,157865.6875,55016.75391,93955.0625
2,162343.9063,87504.14844,105279.5859
3,170322.9375,82622.4375,95134.85938
4,150304.5938,79477.16406,87923.07031
5,142797.2344,68990.04688,76839.67969
6,123622.7188,43703.00781,70203.64063
7,109290.9609,51756.46875,61548.67969
9,79946.05469,47384.60938,45222.20703
12,49020.17188,34840.03516,34175.14063
15,31004.625,31004.625,31004.625
18,23208.50781,31092.17578,31481.16016
21,21922.49414,35248.03125,40912.01172
23,25380.27734,34643.89844,50809.11328
24,22107.86328,50628.21094,53225.84766
25,32298.38672,44560.51953,62824.07813
26,36721.94922,53134.35938,70698.3125
27,41602.25391,61783.78125,77072.13281
28,47792.96094,75269.36719,81481.5625
29,43687.62891,68425.01563,77289.01563
