Depth pos->neg,xAxis (mR),yAxis (mR),zAxis (mR)
1,2263917.256,769144.5266,896677.0843
2,2662110.777,1080809.434,1304447.58
3,4349361.057,1663803.685,1502197.627
4,3074973.501,1854982.074,1566562.877
5,3203539.502,1276075.502,1331232.885
6,3072428.171,1708365.984,1608403.281
7,2376503.473,1416917.91,1735863.396
9,2147846.64,1649930.86,1646190.586
12,1663672.564,1523658.493,1537083.398
15,1370552.485,1370552.485,1370552.485
18,1250189.809,1593523.49,1613477.637
21,1363291.255,1224173.7,1639669.526
23,967430.9031,1713882.3,1363334.748
24,965948.1218,1265177.006,1405583.525
25,875315.6438,1418586.897,1652677.207
26,614426.3915,1544059.514,1375211.937
27,765506.0704,1213775.378,1570165.662
28,661514.495,1192432.061,1355069.313
29,347436.2167,692999.7118,962750.052
